cityName,country,lat,lng,temp,humidity,cloudiness,winds
kashi,cn,39.45,75.98,33.8,47,0,11.18
port alfred,za,-33.59,26.89,54.34,100,8,7.74
yakeshi,cn,49.28,120.73,0.25,69,32,5.28
togur,ru,58.36,82.83,24.95,89,64,8.41
pevek,ru,69.7,170.31,10.51,93,64,8.75
butaritari,ki,3.07,172.79,83.0,100,68,5.28
savinka,ru,50.08,47.1,16.04,64,0,3.0
elko,us,40.83,-115.76,30.2,74,20,6.93
severo-kurilsk,ru,50.68,156.12,36.11,99,32,11.77
monte patria,cl,-30.69,-70.95,46.55,97,8,0.87
hermanus,za,-34.42,19.23,44.93,93,12,2.48
avarua,ck,-21.21,-159.78,80.6,78,40,12.75
ponta do sol,cv,32.67,-17.1,66.2,77,40,6.62
cape town,za,-33.93,18.42,59.0,72,0,6.93
tigil,ru,57.8,158.67,28.42,80,64,15.79
bredasdorp,za,-34.53,20.04,57.2,76,12,8.05
tuatapere,nz,-46.13,167.68,55.06,91,0,6.24
tumannyy,ru,69.16,35.15,13.7,100,20,2.37
katsuura,jp,35.13,140.3,59.0,58,75,17.22
rikitea,pf,-23.12,-134.97,72.79,100,64,22.73
belushya guba,ru,69.71,60.05,24.95,100,68,10.6
airai,pw,60.62,22.58,41.0,86,76,9.17
mataura,pf,27.5,77.68,62.66,94,100,7.58
san policarpo,ph,12.18,125.51,82.55,95,88,8.86
kavaratti,in,10.57,72.64,84.8,97,0,9.26
matara,lk,5.95,80.54,82.19,91,0,3.71
mersing,my,2.43,103.84,84.8,93,20,3.33
honningsvag,no,70.98,25.97,19.87,100,0,1.99
nishihara,jp,26.18,127.76,77.59,69,75,17.22
mbinga,tz,-10.93,35.02,69.37,85,0,7.02
taolanaro,mg,-25.02,46.97,73.4,94,75,4.7
atuona,pf,-9.8,-139.03,80.53,100,80,13.89
mehamn,no,71.04,27.85,20.99,86,88,4.61
dikson,ru,73.51,80.55,-3.76,100,8,13.78
illoqqortoormiut,gl,38.53,-28.64,67.84,98,100,28.99
petropavlovka,ru,50.61,105.32,6.68,66,0,2.89
mys shmidta,ru,47.75,38.03,28.06,90,20,7.74
